RNC,Zone,Issue,Date,,,,
Q321002599-1,MTS,4,2,,,,
Q321002602-1,MTS,2,2,,,,
Q321002629-1,34,2,2,,,,
Q321002629-2,34,2,2,,,,
Q321002629-3,34,2,2,,,,
Q321002629-4,34,2,2,,,,
Q321002629-5,34,2,2,,,,
Q321002629-6,34,2,2,,,,
Q321002631-1,33,1,2,,,,
Q321002676-1,34,3,2,,,,
Q321002701-1,31,1,2,,,,
Q321002701-2,31,1,2,,,,
Q321002702-2,MTS,1,2,,,,
Q321002721-1,34,1,2,,,,
Q321002739-1,34,3,2,,,,
Q321002739-2,34,4,2,,,,
Q321002739-3,34,3,2,,,,
Q321002739-4,34,1,2,,,,
Q321002739-5,34,3,2,,,,
Q321002754-1,34,3,2,,,,
Q321002768-1,34,4,2,,,,
Q321002769-1,34,1,2,,,,
Q321002769-2,34,1,2,,,,
Q321002769-3,34,3,2,,,,
Q321002803-1,34,3,2,,,,
Q321002803-2,34,3,2,,,,
Q321002803-4,34,3,2,,,,
Q321002803-5,34,3,2,,,,
Q321002803-6,34,1,2,,,,
Q321002803-7,34,3,2,,,,
Q321002803-8,34,3,2,,,,
Q321002805-1,31,1,2,,,,
Q321002809-1,34,3,2,,,,
Q321002840-1,34,3,2,,,,
Q321002856-1,MTS,1,2,,,,
Q321002950-1,MTS,1,2,,,,
Q321002966-1,34,7,2,,,,
Q321002966-2,34,3,2,,,,
Q321002971-1,31,5,2,,,,
Q321002993-1,34,5,2,,,,
Q321003013-1,34,3,2,,,,
Q321003013-2,34,1,2,,,,
Q321003013-3,34,3,2,,,,
Q321003013-4,34,3,2,,,,
Q321003013-5,34,3,2,,,,
Q321003029-1,4,2,2,,,,
Q321003032-1,4,1,2,,,,
Q321003038-1,1,1,2,,,,
Q321003041-1,MTS,2,2,,,,
Q321003042-1,MTS,2,2,,,,
Q321003045-1,34,3,2,,,,
Q321003046-1,34,3,2,,,,
Q321003047-1,34,3,2,,,,
Q321003048-1,34,3,2,,,,
Q321003049-1,34,3,2,,,,
Q321003050-1,34,3,2,,,,
Q321003051-1,34,3,2,,,,
Q321003052-1,34,3,2,,,,
Q321003054-1,34,3,2,,,,
Q321003055-1,34,3,2,,,,
Q321003123-1,4,1,2,,,,
Q321003131-1,32,7,2,,,,
Q321003137-1,32,7,2,,,,
